segmento;alvo;cidade;oferta;prioridade;canal;status;proxima_acao;proxima_data;notas
Prefeitura;Prefeitura de Caraúbas;PB;PRAD, monitoramento AIO por assinatura, licenciamento SUDEMA;Alta;E-mail institucional + presencial;;;
Prefeitura;Prefeitura de Boqueirão;PB;Gestão e monitoramento ambiental da barragem, licenciamento;Alta;E-mail + LinkedIn (Sec. Meio Ambiente);;;
Prefeitura;Prefeitura de Cabaceiras;PB;Licenciamento polo caprino/queijo, resíduos, laudos;Media;E-mail institucional;;;
Prefeitura;Prefeitura de Sumé;PB;PRAD, PGR funcionalismo, recuperação de áreas;Media;E-mail + ofício;;;
Prefeitura;Prefeitura de Monteiro;PB;Restauração Rio Paraíba, licenciamento, segurança em obras;Media;E-mail + presencial;;;
Mineração;Pedreira granito ornamental Picuí;PB;RAD/PRAD minerário, caracterização, monitoramento;Alta;Visita técnica;;;
Mineração;Mineradora de bentonita Boa Vista;PB;Licenciamento SUDEMA, PRAD, plano de lavra;Alta;Presencial;;;
Mineração;Pegmatitos/caulim do Seridó;PB/RN;Reservas, plano de lavra, monitoramento;Alta;Visita + LinkedIn;;;
Mineração;Pedreira brita Campina Grande;PB;Licenciamento, laudo de talude, sismografia, PRAD;Alta;Presencial;;;
Mineração;Scheelita do Seridó;RN;RAD/PRAD, recuperação de áreas degradadas;Media;LinkedIn/telefone;;;
Mineração;Calcário agrícola Serra Branca/Patos;PB;Caracterização mineralógica, licenciamento;Media;Presencial;;;
Energia;Complexo Eólico do Cariri;PB;Monitoramento AIO, PGR/NR-35, auditoria ambiental;Alta;LinkedIn (gerência);;;
Energia;Desenvolvedora eólica Sertão/Cariri;NE;Due diligence, licenciamento, monitoramento;Alta;LinkedIn;;;
Energia;Usina solar Coremas/Santa Luzia;PB;Auditoria ambiental, monitoramento, eficiência;Alta;LinkedIn;;;
Energia;Distribuidora Energisa Paraíba;PB;PGR/LTCAT, licenciamento de linhas, monitoramento;Media;Processo/portfólio;;;
Energia;Indústria de torres eólicas Campina Grande;PB;NR-12, PGR, treinamentos NR, laudos;Media;Visita + LinkedIn;;;
Indústria/Agro;Frigorífico de abate bovino Patos;PB;Licenciamento SUDEMA, efluentes, PGR, eficiência;Alta;Presencial;;;
Indústria/Agro;Agroindústria caju/castanha Pombal/Juazeirinho;PB;Licenciamento, resíduos, segurança do trabalho;Media;Presencial/telefone;;;
Indústria/Agro;Cooperativa caprinos/queijo coalho Cabaceiras;PB;Legalização ambiental, resíduos, capacitação;Media;Presencial;;;
Indústria/Agro;Cerâmica/carvoaria São José de Piranhas;PB;DOF, licenciamento, monitoramento de queima;Media;Presencial;;;
Indústria/Agro;Confecções têxteis Santa Luzia;PB;PGR/LTCAT, licenciamento, eficiência energética;Media;LinkedIn;;;
Segurança;CEREST Patos;PB;Parceria PGR/LTCAT e treinamentos NR;Alta;E-mail institucional + presencial;;;
Segurança;Hospital Regional de Patos;PB;PGR/LTCAT, NR-32, treinamentos;Alta;Presencial;;;
Segurança;Cooperativa eletrificação rural Boa Vista;PB;PGR, NR-10, treinamentos, monitoramento de rede;Alta;Presencial;;;
Segurança;Laticínio Cabaceiras/Sumé;PB;PGR, NR-12, treinamentos;Media;Presencial;;;
Florestal;Viveiro/restauração do Cariri Caraúbas;PB;Inventário florestal, mudas nativas, monitoramento;Alta;Presencial;;;
Florestal;Madeireira/serraria João Pessoa;PB;DOF, inventário, licenciamento;Media;E-mail + visita;;;
Florestal;Reflorestamento eucalipto Serra de Teixeira;PB;Inventário, CAR, outorga, monitoramento;Media;Presencial;;;
Florestal;Associação apicultores/meliponicultores do Cariri;PB;Capacitação, legalização ambiental;Media;Reunião/presencial;;;
Perícia;Escritório advocacia ambiental João Pessoa;PB;Laudos periciais, pareceres técnicos;Alta;LinkedIn + e-mail;;;
Perícia;Perito judicial ambiental Campina Grande;PB;Apoio técnico a perícias judiciais;Alta;LinkedIn/telefone;;;
Perícia;Incorporadora com licenciamento João Pessoa;PB;Due diligence, licenciamento SUDEMA;Media;LinkedIn;;;
Perícia;Consultoria de risco ambiental Recife;PE;Auditoria e avaliação de passivos;Media;LinkedIn;;;
Geotecnia;AESA-PB / barragem de Boqueirão;PB;Monitoramento de taludes, sismografia, laudo de barragem;Alta;E-mail institucional + reunião;;;
Geotecnia;Construtora de obras do DNOCS no Cariri;PB;Laudos de talude, SPT, geotecnia, PRAD;Alta;Presencial;;;
Geotecnia;Empresa de sondagem/SPT Campina Grande;PB;Parceria técnica em geotecnia;Media;Presencial;;;
Geotecnia;Construtora de edificações Campina Grande;PB;Laudo de canteiro, licenciamento, SST;Media;LinkedIn/presencial;;;
Offshore;Base de apoio offshore Areia Branca;RN;Licenciamento, monitoramento, NR-37, HSE;Alta;LinkedIn/presencial;;;
Offshore;Estaleiro naval de Suape;PE;Licenciamento IBAMA, NR-37, gestão ambiental naval;Alta;E-mail + visita;;;
Offshore;Desenvolvedora eólica offshore Pecém;CE;Estudos ambientais, due diligence, monitoramento marinho;Alta;LinkedIn;;;
